app,appLabel,sitelinks
http://www.wikidata.org/entity/Q8093,Nintendo,131
http://www.wikidata.org/entity/Q43449,Creative Commons,105
http://www.wikidata.org/entity/Q173496,Marvel Comics,91
http://www.wikidata.org/entity/Q193563,Bibliothèque nationale de France,90
http://www.wikidata.org/entity/Q123885,Royal Society,89
http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art,86
http://www.wikidata.org/entity/Q125761,Internationella civila luftfartsorganisationen,84
http://www.wikidata.org/entity/Q31519,Karlsuniversitetet,83
http://www.wikidata.org/entity/Q36989,Pardubice,81
http://www.wikidata.org/entity/Q33438,Internationella kemiunionen,78
http://www.wikidata.org/entity/Q485240,Billboard,78
http://www.wikidata.org/entity/Q193559,Valve Corporation,74
http://www.wikidata.org/entity/Q122741,Sega,73
http://www.wikidata.org/entity/Q11942,ETH Zürich,72
http://www.wikidata.org/entity/Q188822,Asiatiska utvecklingsbanken,72
http://www.wikidata.org/entity/Q173941,Electronic Arts,70
http://www.wikidata.org/entity/Q131566,Institute of Electrical and Electronics Engineers,69
http://www.wikidata.org/entity/Q167186,National Geographic Society,67
http://www.wikidata.org/entity/Q94912,Q94912,66
http://www.wikidata.org/entity/Q83172,Rysslands Vetenskapsakademi,66
http://www.wikidata.org/entity/Q103665,Junior Eurovision Song Contest,66
http://www.wikidata.org/entity/Q156591,Yad Vashem,64
http://www.wikidata.org/entity/Q188273,Q188273,63
http://www.wikidata.org/entity/Q178824,Blizzard Entertainment,63
http://www.wikidata.org/entity/Q217595,Oxford University Press,63
http://www.wikidata.org/entity/Q151107,Michelin,61
http://www.wikidata.org/entity/Q152171,Bonns universitet,61
http://www.wikidata.org/entity/Q214867,National Gallery of Art,59
http://www.wikidata.org/entity/Q14428,Capcom,57
http://www.wikidata.org/entity/Q45700,Konami,57
http://www.wikidata.org/entity/Q200491,Activision,57
http://www.wikidata.org/entity/Q217365,Bell Labs,57
http://www.wikidata.org/entity/Q219615,Barcelonas universitet,57
http://www.wikidata.org/entity/Q217305,The New Yorker,56
http://www.wikidata.org/entity/Q206959,San Remo-festivalen,56
http://www.wikidata.org/entity/Q739711,Epic Games,53
http://www.wikidata.org/entity/Q270794,National Academy of Sciences,53
http://www.wikidata.org/entity/Q472311,International Organization for Migration,52
http://www.wikidata.org/entity/Q59456966,Oscarsgalan 2019,52
http://www.wikidata.org/entity/Q18594,Sony Interactive Entertainment,51
http://www.wikidata.org/entity/Q1438774,Supercell,51
http://www.wikidata.org/entity/Q58884,Melodifestivalen,51
http://www.wikidata.org/entity/Q207784,Square Enix,50
http://www.wikidata.org/entity/Q207922,Atari,50
http://www.wikidata.org/entity/Q498407,Lettlands universitet,50
http://www.wikidata.org/entity/Q24636843,Oscarsgalan 2018,50
http://www.wikidata.org/entity/Q223703,MTV Video Music Awards,49
http://www.wikidata.org/entity/Q503415,University of Maryland,47
http://www.wikidata.org/entity/Q217493,Paradox Interactive,45
http://www.wikidata.org/entity/Q763586,Masarykuniversitetet,45
http://www.wikidata.org/entity/Q35438,The Jerusalem Post,45
http://www.wikidata.org/entity/Q844822,Shueisha,45
http://www.wikidata.org/entity/Q208305,Commodore,44
http://www.wikidata.org/entity/Q684425,Bethesda Softworks,44
http://www.wikidata.org/entity/Q127992,Association for Computing Machinery,44
http://www.wikidata.org/entity/Q262760,École polytechnique fédérale de Lausanne,43
http://www.wikidata.org/entity/Q460173,Q460173,43
http://www.wikidata.org/entity/Q52413,University of Kansas,43
http://www.wikidata.org/entity/Q64885,Grekisk-melkitiska katolska kyrkan,43
http://www.wikidata.org/entity/Q850676,Blansko,43
http://www.wikidata.org/entity/Q309996,Namco,42
http://www.wikidata.org/entity/Q332869,Filmfestivalen i Karlovy Vary,42
http://www.wikidata.org/entity/Q153012,Universität Potsdam,42
http://www.wikidata.org/entity/Q726081,Kōdansha,41
http://www.wikidata.org/entity/Q188112,Nationalmuseet i Prag,41
http://www.wikidata.org/entity/Q1508259,Routledge,41
