game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q49740,Minecraft,151
http://www.wikidata.org/entity/Q17452,Q17452,95
http://www.wikidata.org/entity/Q71910,Tetris,91
http://www.wikidata.org/entity/Q83265,Grand Theft Auto: San Andreas,88
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City,78
http://www.wikidata.org/entity/Q131007,World of Warcraft,78
http://www.wikidata.org/entity/Q94797,Grand Theft Auto IV,77
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,76
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,75
http://www.wikidata.org/entity/Q20966579,Pokémon Go,75
http://www.wikidata.org/entity/Q279744,Half-Life,72
http://www.wikidata.org/entity/Q165929,Starcraft,71
http://www.wikidata.org/entity/Q173626,Pac-Man,71
http://www.wikidata.org/entity/Q223341,League of Legends,69
http://www.wikidata.org/entity/Q323862,The Elder Scrolls V: Skyrim,67
http://www.wikidata.org/entity/Q163628,Q163628,64
http://www.wikidata.org/entity/Q193581,Half-Life 2,62
http://www.wikidata.org/entity/Q842146,Q842146,60
http://www.wikidata.org/entity/Q76255,Call of Duty 4: Modern Warfare,60
http://www.wikidata.org/entity/Q200864,Assassin's Creed,59
http://www.wikidata.org/entity/Q216293,Pong,59
http://www.wikidata.org/entity/Q274897,Portal,59
http://www.wikidata.org/entity/Q184816,The Sims,58
http://www.wikidata.org/entity/Q189784,Doom,56
http://www.wikidata.org/entity/Q34852,Age of Empires II: The Age of Kings,55
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,55
http://www.wikidata.org/entity/Q185482,The Sims 3,55
http://www.wikidata.org/entity/Q106827,Second Life,54
http://www.wikidata.org/entity/Q57270,Bioshock,54
http://www.wikidata.org/entity/Q170331,Travian,53
http://www.wikidata.org/entity/Q213217,Mafia,53
http://www.wikidata.org/entity/Q182771,The Sims 2,53
http://www.wikidata.org/entity/Q94460,Grand Theft Auto 2,52
http://www.wikidata.org/entity/Q207948,Warcraft III: Reign of Chaos,51
http://www.wikidata.org/entity/Q216995,Super Mario 64,51
http://www.wikidata.org/entity/Q220665,Space Invaders,51
http://www.wikidata.org/entity/Q12384,Donkey Kong,50
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,50
http://www.wikidata.org/entity/Q207797,Call of Duty: World at War,50
http://www.wikidata.org/entity/Q210844,Spore,50
http://www.wikidata.org/entity/Q275950,Resident Evil 4,50
http://www.wikidata.org/entity/Q279446,Portal 2,50
http://www.wikidata.org/entity/Q548203,Red Dead Redemption,49
http://www.wikidata.org/entity/Q211096,Q211096,48
http://www.wikidata.org/entity/Q214232,Final Fantasy VII,48
http://www.wikidata.org/entity/Q220767,Age of Empires,48
http://www.wikidata.org/entity/Q323981,Q323981,48
http://www.wikidata.org/entity/Q220365,Need for Speed: Most Wanted,47
http://www.wikidata.org/entity/Q276217,Halo: Combat Evolved,47
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories,46
http://www.wikidata.org/entity/Q60102,Q60102,46
http://www.wikidata.org/entity/Q221164,Fallout 3,46
http://www.wikidata.org/entity/Q853143,Super Mario World,46
http://www.wikidata.org/entity/Q2377,Q2377,45
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,45
http://www.wikidata.org/entity/Q49607,The Elder Scrolls IV: Oblivion,45
http://www.wikidata.org/entity/Q59154,Mafia II,45
http://www.wikidata.org/entity/Q207786,Tamagotchi,45
http://www.wikidata.org/entity/Q207986,Call of Duty: Black Ops,45
http://www.wikidata.org/entity/Q210298,Call of Duty 2,45
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,45
http://www.wikidata.org/entity/Q187732,Runescape,45
http://www.wikidata.org/entity/Q244030,Diablo III,45
http://www.wikidata.org/entity/Q71936,Wii Sports,44
http://www.wikidata.org/entity/Q217423,Quake,44
http://www.wikidata.org/entity/Q219795,Need for Speed: Carbon,44
http://www.wikidata.org/entity/Q244033,Diablo II,44
http://www.wikidata.org/entity/Q34869,Age of Empires III,43
http://www.wikidata.org/entity/Q220960,Diablo,43
http://www.wikidata.org/entity/Q271062,Age of Mythology,43
http://www.wikidata.org/entity/Q317620,Tomb Raider,43
http://www.wikidata.org/entity/Q308961,Call of Duty 3,43
http://www.wikidata.org/entity/Q838707,Mario Kart Wii,42
http://www.wikidata.org/entity/Q213911,The Legend of Zelda: Ocarina of Time,42
http://www.wikidata.org/entity/Q214142,Kampen om Wesnoth,42
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,42
http://www.wikidata.org/entity/Q223381,Final Fantasy X,42
http://www.wikidata.org/entity/Q275960,Mass Effect,42
http://www.wikidata.org/entity/Q287637,The Witcher,42
http://www.wikidata.org/entity/Q245006,Final Fantasy VIII,42
http://www.wikidata.org/entity/Q2385,Civilization V,41
http://www.wikidata.org/entity/Q37123,Sonic the Hedgehog,41
http://www.wikidata.org/entity/Q237484,Crysis,41
http://www.wikidata.org/entity/Q854479,Super Mario Bros. 2,41
http://www.wikidata.org/entity/Q247210,Need for Speed: Underground,41
http://www.wikidata.org/entity/Q17146,Q17146,40
http://www.wikidata.org/entity/Q94871,Grand Theft Auto: Chinatown Wars,40
http://www.wikidata.org/entity/Q176336,Far Cry 2,40
http://www.wikidata.org/entity/Q126194,Minröj,39
http://www.wikidata.org/entity/Q203310,DOOM 3,39
http://www.wikidata.org/entity/Q137802,Halo 3,39
http://www.wikidata.org/entity/Q170489,Super Mario Galaxy,39
http://www.wikidata.org/entity/Q327594,Final Fantasy XII,39
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,38
http://www.wikidata.org/entity/Q206653,Q206653,38
http://www.wikidata.org/entity/Q837923,Garry's Mod,38
http://www.wikidata.org/entity/Q207885,Warcraft: Orcs & Humans,38
http://www.wikidata.org/entity/Q252804,Halo 2,38
http://www.wikidata.org/entity/Q18951,Half-Life 2: Episode One,37
http://www.wikidata.org/entity/Q202934,Hattrick,37
http://www.wikidata.org/entity/Q858564,Mario Kart DS,37
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,36
http://www.wikidata.org/entity/Q20420,Empire Earth,36
http://www.wikidata.org/entity/Q162751,Q162751,36
http://www.wikidata.org/entity/Q845695,Gran Turismo 4,36
http://www.wikidata.org/entity/Q187339,Zelda II: The Adventure of Link,36
http://www.wikidata.org/entity/Q281246,Need for Speed: The Run,36
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception,35
http://www.wikidata.org/entity/Q17150,Uncharted: Drake's Fortune,35
http://www.wikidata.org/entity/Q842259,FIFA 08,35
http://www.wikidata.org/entity/Q843131,Super Smash Bros. Brawl,35
http://www.wikidata.org/entity/Q225912,Kingdom Hearts,35
http://www.wikidata.org/entity/Q535940,Final Fantasy VI,35
http://www.wikidata.org/entity/Q857823,Fate/stay night,35
http://www.wikidata.org/entity/Q288811,Batman: Arkham City,35
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,34
http://www.wikidata.org/entity/Q500851,Company of Heroes,34
http://www.wikidata.org/entity/Q63352,Q63352,34
http://www.wikidata.org/entity/Q170410,New Super Mario Bros. Wii,34
http://www.wikidata.org/entity/Q845290,Q845290,34
http://www.wikidata.org/entity/Q219743,OGame,34
http://www.wikidata.org/entity/Q220965,Heroes of Might and Magic III: The Restoration of Erathia,34
http://www.wikidata.org/entity/Q847820,Q847820,34
http://www.wikidata.org/entity/Q239288,Q239288,34
http://www.wikidata.org/entity/Q526350,Q526350,34
http://www.wikidata.org/entity/Q553308,Half-Life 2: Episode Two,34
http://www.wikidata.org/entity/Q861205,The Legend of Zelda: Skyward Sword,34
http://www.wikidata.org/entity/Q247935,Metal Gear Solid 3: Snake Eater,34
http://www.wikidata.org/entity/Q307441,Osu!,34
http://www.wikidata.org/entity/Q323264,Dishonored,34
http://www.wikidata.org/entity/Q2374,Q2374,33
http://www.wikidata.org/entity/Q137977,FIFA 13,33
http://www.wikidata.org/entity/Q166226,Beyond: Two Souls,33
http://www.wikidata.org/entity/Q840121,Wii Fit,33
http://www.wikidata.org/entity/Q846051,Shadow of the Colossus,33
http://www.wikidata.org/entity/Q849328,Probotector,33
http://www.wikidata.org/entity/Q852563,The Legend of Zelda: The Wind Waker,33
http://www.wikidata.org/entity/Q854487,Super Mario Galaxy 2,33
http://www.wikidata.org/entity/Q858294,Tennis for Two,33
http://www.wikidata.org/entity/Q858391,Spyro the Dragon,33
http://www.wikidata.org/entity/Q283878,Halo: Reach,33
http://www.wikidata.org/entity/Q301555,New Super Mario Bros.,33
http://www.wikidata.org/entity/Q302839,Bioshock 2,33
http://www.wikidata.org/entity/Q35627,Sonic the Hedgehog 2,32
http://www.wikidata.org/entity/Q150294,Mortal Kombat,32
http://www.wikidata.org/entity/Q846167,Metal Gear Solid 4: Guns of the Patriots,32
http://www.wikidata.org/entity/Q239889,Hitman: Blood Money,32
http://www.wikidata.org/entity/Q633011,Final Fantasy X-2,32
http://www.wikidata.org/entity/Q864389,Nintendogs,32
http://www.wikidata.org/entity/Q866397,Need for Speed: Hot Pursuit 2,32
http://www.wikidata.org/entity/Q91282,Arkanoid,31
http://www.wikidata.org/entity/Q116578,Guitar Hero,31
http://www.wikidata.org/entity/Q142908,PlanetPenguin Racer,31
http://www.wikidata.org/entity/Q149998,Paper Mario,31
http://www.wikidata.org/entity/Q837338,Silent Hill 3,31
http://www.wikidata.org/entity/Q837931,Need for Speed: Hot Pursuit,31
http://www.wikidata.org/entity/Q840308,Crash Bandicoot 3: Warped,31
http://www.wikidata.org/entity/Q840889,Devil May Cry,31
http://www.wikidata.org/entity/Q842591,Need for Speed: World,31
http://www.wikidata.org/entity/Q222473,Hearts of Iron III,31
http://www.wikidata.org/entity/Q524267,Frogger,31
http://www.wikidata.org/entity/Q853344,Manhunt,31
http://www.wikidata.org/entity/Q868523,Command & Conquer,31
http://www.wikidata.org/entity/Q88759,Bubble Bobble,30
http://www.wikidata.org/entity/Q45028,Halo 4,30
http://www.wikidata.org/entity/Q144728,Bad Piggies,30
http://www.wikidata.org/entity/Q518987,Donkey Kong Country,30
http://www.wikidata.org/entity/Q179247,The Secret of Monkey Island,30
http://www.wikidata.org/entity/Q538821,Crysis 3,30
http://www.wikidata.org/entity/Q856562,Sonic the Hedgehog 3,30
http://www.wikidata.org/entity/Q633046,Command & Conquer 3: Tiberium Wars,30
http://www.wikidata.org/entity/Q244503,Erepublik,30
http://www.wikidata.org/entity/Q864177,Q864177,30
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars,29
http://www.wikidata.org/entity/Q129277,Hitman: Absolution,29
http://www.wikidata.org/entity/Q137924,FIFA 12,29
http://www.wikidata.org/entity/Q836690,The Simpsons Hit & Run,29
http://www.wikidata.org/entity/Q839088,Empire: Total War,29
http://www.wikidata.org/entity/Q840699,Silent Hill: Origins,29
http://www.wikidata.org/entity/Q847638,Planescape: Torment,29
http://www.wikidata.org/entity/Q533304,Splinter Cell: Chaos Theory,29
http://www.wikidata.org/entity/Q856904,Q856904,29
http://www.wikidata.org/entity/Q549217,Neverwinter Nights,29
http://www.wikidata.org/entity/Q254851,Harry Potter och Fenixorden,29
http://www.wikidata.org/entity/Q264257,Tribal Wars,29
http://www.wikidata.org/entity/Q771553,Day of Defeat,28
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent,28
http://www.wikidata.org/entity/Q55532,1942,28
http://www.wikidata.org/entity/Q146124,Excitebike,28
http://www.wikidata.org/entity/Q837581,Europa Universalis,28
http://www.wikidata.org/entity/Q168615,1080° Snowboarding,28
http://www.wikidata.org/entity/Q839794,Devil May Cry 3: Dante's Awakening,28
http://www.wikidata.org/entity/Q840167,Star Wars: The Force Unleashed,28
http://www.wikidata.org/entity/Q211229,Black Mesa,28
http://www.wikidata.org/entity/Q843486,Mortal Kombat II,28
http://www.wikidata.org/entity/Q849901,Harry Potter och den flammande bägaren,28
http://www.wikidata.org/entity/Q859380,Harry Potter: Världsmästerskapen i Quidditch,28
http://www.wikidata.org/entity/Q1058903,Super Mario All-Stars,27
http://www.wikidata.org/entity/Q40177,Sonic & Knuckles,27
http://www.wikidata.org/entity/Q44373,Nintendo Land,27
http://www.wikidata.org/entity/Q170003,Ratchet & Clank,27
http://www.wikidata.org/entity/Q210275,Destiny,27
http://www.wikidata.org/entity/Q843456,Forza Motorsport 3,27
http://www.wikidata.org/entity/Q846549,Q846549,27
http://www.wikidata.org/entity/Q522508,Super Paper Mario,27
http://www.wikidata.org/entity/Q856950,Machinarium,27
http://www.wikidata.org/entity/Q296744,ARMA 2,27
http://www.wikidata.org/entity/Q866424,Q866424,27
http://www.wikidata.org/entity/Q257469,Another World,27
http://www.wikidata.org/entity/Q374556,The Orange Box,26
http://www.wikidata.org/entity/Q44462,Animal Crossing: New Leaf,26
http://www.wikidata.org/entity/Q129000,Banjo-Kazooie,26
http://www.wikidata.org/entity/Q55295,Star Wars: Jedi Knight: Jedi Academy,26
http://www.wikidata.org/entity/Q509269,Silkroad Online,26
http://www.wikidata.org/entity/Q180434,Heroes of Newerth,26
http://www.wikidata.org/entity/Q850445,Medal of Honor,26
http://www.wikidata.org/entity/Q528128,Killzone 3,26
http://www.wikidata.org/entity/Q528310,Shogun: Total War,26
http://www.wikidata.org/entity/Q862524,Harry Potter och Halvblodsprinsen,26
http://www.wikidata.org/entity/Q558621,New Super Mario Bros. 2,26
http://www.wikidata.org/entity/Q324871,Titan Quest,26
http://www.wikidata.org/entity/Q5766,VVVVVV,25
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II,25
http://www.wikidata.org/entity/Q204105,Dig Dug,25
http://www.wikidata.org/entity/Q841712,Conker's Bad Fur Day,25
http://www.wikidata.org/entity/Q841755,Monkey Island 2: LeChuck's Revenge,25
http://www.wikidata.org/entity/Q842431,Dead Space 2,25
http://www.wikidata.org/entity/Q845645,Day of the Tentacle,25
http://www.wikidata.org/entity/Q220107,Zoo Tycoon 2,25
http://www.wikidata.org/entity/Q843205,Kingdom Hearts: Chain of Memories,25
http://www.wikidata.org/entity/Q74401,Indiana Jones and the Fate of Atlantis,25
http://www.wikidata.org/entity/Q74669,Star Wars: Knights of the Old Republic II: The Sith Lords,25
http://www.wikidata.org/entity/Q1705294,Pokémon Snap,25
